日期,茅台收盘,平安收盘,茅台收益率,平安收益率
2021-08-13,9027.76,54.31,0.005619723502920282,-0.007855316039459215
2021-08-16,9023.54,54.93,-0.0004674470743571968,0.011415945498066682
2021-08-17,8700.94,54.21,-0.035750935885472956,-0.013107591480065572
2021-08-18,8625.57,56.04,-0.008662282466032512,0.03375760929717764
2021-08-19,8625.42,53.71,-1.7390155085394987e-05,-0.04157744468236968
2021-08-20,8263.79,53.01,-0.041926074324496576,-0.013032954757028592
2021-08-23,8375.29,52.7,0.01349259843243833,-0.005847953216374213
2021-08-24,8651.6,51.8,0.03299109642770581,-0.017077798861480198
2021-08-25,8851.79,51.58,0.023139072541495276,-0.004247104247104172
2021-08-26,8499.95,50.3,-0.03974789279908364,-0.024815820085304363
2021-08-27,8505.13,52.0,0.000609415349501985,0.03379721669980129
2021-08-30,8454.73,50.71,-0.005925835348783548,-0.02480769230769231
2021-08-31,8314.04,49.9,-0.016640389462466376,-0.01597318083218302
2021-09-01,8635.67,51.49,0.03868516389144139,0.03186372745490984
2021-09-02,8619.54,51.55,-0.0018678342271067905,0.001165274810642769
2021-09-03,8817.62,51.71,0.02298034465876375,0.0031037827352085046
2021-09-06,8880.18,51.58,0.007094885014323538,-0.0025140204989364534
2021-09-07,8871.79,52.34,-0.0009448006684548149,0.014734393175649618
2021-09-08,8691.4,51.95,-0.020332988044126532,-0.007451280091708035
2021-09-09,8696.32,51.62,0.000566076811560956,-0.006352261790183
2021-09-10,8839.53,51.71,0.01646788526641174,0.0017435102673382108
2021-09-13,8796.42,51.12,-0.004876956127757959,-0.01140978534132675
2021-09-14,8811.49,49.86,0.001713196959672203,-0.02464788732394363
2021-09-15,8604.17,49.47,-0.023528370343721683,-0.007821901323706415
2021-09-16,8716.37,49.51,0.013040188652711393,0.0008085708510208178
2021-09-17,8957.21,48.68,0.027630768312955745,-0.01676429004241564
2021-09-22,8714.46,47.78,-0.027101072767078183,-0.018488085456039416
2021-09-23,8700.94,48.22,-0.0015514443809483414,0.009208874005860235
2021-09-24,8997.41,48.08,0.03407333000802204,-0.002903359601824973
2021-09-27,9806.4,49.0,0.08991365292900966,0.019134775374376023
2021-09-28,9640.88,49.26,-0.016878773046174023,0.0053061224489796555
2021-09-29,9630.53,49.19,-0.0010735534515520229,-0.0014210312626877775
2021-09-30,9680.78,48.36,0.005217781368211272,-0.01687334824151243
2021-10-08,9729.02,52.1,0.004983069546048879,0.077336641852771
2021-10-11,9867.3,52.74,0.014213147881287025,0.012284069097888706
2021-10-12,9886.75,52.26,0.001971157256797751,-0.009101251422070633
2021-10-13,10182.76,51.75,0.029940071307558158,-0.009758897818599288
2021-10-14,10087.79,51.41,-0.009326548008594893,-0.006570048309178844
2021-10-15,10117.79,50.88,0.0029738922003730295,-0.010309278350515316
2021-10-18,9530.04,49.86,-0.05809074906674283,-0.02004716981132082
2021-10-19,9591.24,51.45,0.006421798859186145,0.03188929001203378
2021-10-20,9736.05,51.37,0.015098152063758086,-0.001554907677356776
2021-10-21,9751.13,54.28,0.001548882760462389,0.0566478489390696
2021-10-22,10037.54,54.29,0.02937198047816003,0.00018422991893873863
2021-10-25,9897.0,53.21,-0.01400143859949754,-0.019893166328973977
2021-10-26,9836.8,52.17,-0.006082651308477405,-0.01954519827100165
2021-10-27,9625.51,51.65,-0.021479546193884147,-0.009967414222733395
2021-10-28,9658.12,51.3,0.003387872434811312,-0.006776379477250738
