日期,茅台收盘,平安收盘
2022-11-28,8181.16,41.41
2022-11-29,8628.96,44.78
2022-11-30,8628.96,44.95
2022-12-01,8788.75,44.83
2022-12-02,8804.23,44.62
2022-12-05,8960.1,47.28
2022-12-06,9076.17,47.44
2022-12-07,9056.07,46.7
2022-12-08,9071.25,47.15
2022-12-09,9287.21,47.6
2022-12-12,9332.54,46.17
2022-12-13,9387.71,46.7
2022-12-14,9492.58,46.89
2022-12-15,9573.58,46.43
2022-12-16,9572.97,46.9
2022-12-19,9503.28,45.77
2022-12-20,9211.84,44.93
2022-12-21,9332.44,45.26
2022-12-22,9478.15,45.88
2022-12-23,9493.23,45.64
2022-12-26,9347.81,44.66
2022-12-27,9412.38,45.58
2022-12-28,9412.38,46.28
2022-12-29,9342.03,45.82
2022-12-30,9382.23,47.0
2023-01-03,9397.36,47.15
2023-01-04,9372.23,48.53
2023-01-05,9754.07,48.93
2023-01-06,9767.98,49.74
2023-01-09,9956.06,50.91
2023-01-10,10022.64,49.21
2023-01-11,9974.91,50.7
2023-01-12,9919.88,50.91
2023-01-13,10186.2,52.35
2023-01-16,10316.34,52.09
2023-01-17,10291.72,51.5
2023-01-18,10216.35,51.55
2023-01-19,10152.08,51.81
2023-01-20,10050.58,52.1
2023-01-30,10191.22,51.48
2023-01-31,9978.98,50.98
2023-02-01,9975.01,51.35
2023-02-02,9930.49,50.83
2023-02-03,9839.49,49.6
2023-02-06,9723.92,48.16
2023-02-07,9733.97,48.7
2023-02-08,9668.64,48.5
2023-02-09,9839.49,49.32
2023-02-10,9799.29,49.3
2023-02-13,10032.19,49.25
2023-02-14,9969.08,49.9
2023-02-15,9955.06,48.88
2023-02-16,10059.67,49.2
2023-02-17,9853.46,48.8
2023-02-20,10125.9,49.95
2023-02-21,10085.7,50.01
2023-02-22,9929.93,49.18
2023-02-23,9839.49,48.98
2023-02-24,9688.74,48.2
2023-02-27,9801.35,47.8
2023-02-28,9818.08,48.2
2023-03-01,9942.65,49.99
2023-03-02,9889.74,50.2
2023-03-03,9839.69,50.28
2023-03-06,9784.92,48.58
2023-03-07,9690.25,47.91
2023-03-08,9600.41,47.23
2023-03-09,9598.4,46.64
2023-03-10,9497.8,46.0
2023-03-13,9558.1,46.5
2023-03-14,9578.2,45.46
2023-03-15,9502.42,45.95
2023-03-16,9507.8,45.23
2023-03-17,9457.6,46.2
2023-03-20,9395.3,45.58
2023-03-21,9623.42,46.01
2023-03-22,9615.13,46.5
2023-03-23,9622.72,46.88
2023-03-24,9641.61,46.2
2023-03-27,9587.19,45.99
2023-03-28,9657.59,45.88
2023-03-29,9698.79,45.42
2023-03-30,9749.04,45.48
2023-03-31,9849.54,45.6
2023-04-03,9759.44,45.68
2023-04-04,9822.35,45.57
2023-04-06,9733.77,45.08
2023-04-07,9703.77,45.63
2023-04-10,9606.84,46.06
2023-04-11,9475.19,45.66
2023-04-12,9216.92,45.6
2023-04-13,9362.13,45.12
2023-04-14,9313.99,45.49
2023-04-17,9512.88,47.48
